rent,size_sqm,district,year,source,price_per_sqm,size_category,rent_category,period
550.0,62.0,Friedrichshain,2025,Immobilienscout24,8.870967741935484,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
558.0,48.0,Friedrichshain,2025,Immobilienscout24,11.625,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
546.0,64.0,Pankow,2025,Immobilienscout24,8.53125,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
700.0,60.0,Kreuzberg,2025,Immobilienscout24,11.666666666666666,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
1.1,105.0,Unbekannt,2025,Immobilienscout24,0.010476190476190477,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
500.0,34.0,Friedrichshain,2025,Immobilienscout24,14.705882352941176,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
390.0,49.0,Mitte,2025,Immobilienscout24,7.959183673469388,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
470.0,96.0,Lichtenberg,2025,Immobilienscout24,4.895833333333333,Groß (60-100 m²),Günstig (< 800 €),Nach Corona (2023+)
453.0,57.0,Prenzlauer Berg,2025,Immobilienscout24,7.947368421052632,Mittel (30-60 m²),Günstig (< 800 €),Nach Corona (2023+)
800.0,70.0,Charlottenburg,2025,Immobilienscout24,11.428571428571429,Groß (60-100 m²),Mittel (800-1200 €),Nach Corona (2023+)
1.65,102.0,Charlottenburg,2025,Immobilienscout24,0.016176470588235292,Sehr groß (> 100 m²),Günstig (< 800 €),Nach Corona (2023+)
