price,size,district,year,dataset,rooms
1380.0,113.0,Wilmersdorf,2019,historical,4.0
767.0,59.0,Kreuzberg,2019,historical,2.0
1131.92,97.83,Niederschöneweide_Treptow,2019,historical,3.0
729.0,52.19,Neukölln,2019,historical,2.0
322.63,43.0,Neukölln,2019,historical,1.0
3500.0,272.0,Grunewald_Wilmersdorf,2019,historical,5.0
673.0,30.38,Wedding,2019,historical,1.0
594.0,65.82,Wedding,2019,historical,2.0
911.0,104.68,Staaken_Spandau,2019,historical,4.0
418.13,68.49,Marzahn,2019,historical,3.0
1350.0,84.0,Charlottenburg,2019,historical,3.0
793.0,61.0,Schmargendorf_Wilmersdorf,2019,historical,2.0
583.54,76.0,Charlottenburg,2019,historical,3.0
895.32,82.9,Grünau_Köpenick,2019,historical,3.0
1900.0,94.0,Mitte,2019,historical,3.0
2700.0,90.0,Wilmersdorf,2019,historical,3.0
1950.0,99.47,Mitte,2019,historical,3.0
1250.0,91.0,Charlottenburg,2019,historical,3.0
551.25,31.5,Kreuzberg,2019,historical,1.0
495.0,55.0,Französisch_Buchholz_Pankow,2019,historical,2.0
722.0,75.0,Rahnsdorf_Köpenick,2019,historical,2.0
759.0,69.09,Lichtenrade_Tempelhof,2019,historical,2.0
2128.0,133.0,Weißensee,2019,historical,3.0
1001.78,97.26,Steglitz,2019,historical,4.0
2000.0,135.0,Charlottenburg,2019,historical,4.0
4480.0,256.0,Charlottenburg,2019,historical,5.0
2170.0,130.0,Mitte,2019,historical,2.0
1994.1,117.3,Mitte,2019,historical,3.0
1086.8,65.47,Tiergarten,2019,historical,2.0
341.24,50.78,Tegel_Reinickendorf,2019,historical,2.0
1121.15,65.95,Tiergarten,2019,historical,2.0
856.0,61.41,Marienfelde_Tempelhof,2019,historical,2.0
1110.0,74.0,Friedrichshain,2019,historical,2.0
875.0,35.0,Wilmersdorf,2019,historical,1.0
557.45,53.86,Spandau,2019,historical,2.0
1750.0,143.0,Niederschönhausen_Pankow,2019,historical,4.0
574.03,70.0,Wittenau_Reinickendorf,2019,historical,2.0
755.9,60.96,Altglienicke_Treptow,2019,historical,2.0
2431.34,143.02,Friedrichshain,2019,historical,4.0
1050.0,63.82,Zehlendorf,2019,historical,2.0
1530.0,122.27,Reinickendorf,2019,historical,4.0
