title,price,size,address,link,is_split_from_multi,original_multi_count
Ein Zuhause voller Vorzüge im Grünen! (Unit 4/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Ein Zuhause voller Vorzüge im Grünen! (Unit 5/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Ein Zuhause voller Vorzüge im Grünen! (Unit 6/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Ein Zuhause voller Vorzüge im Grünen! (Unit 7/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Ein Zuhause voller Vorzüge im Grünen! (Unit 8/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Ein Zuhause voller Vorzüge im Grünen! (Unit 9/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Ein Zuhause voller Vorzüge im Grünen! (Unit 10/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Ein Zuhause voller Vorzüge im Grünen! (Unit 11/11),1765.0,78.0,"Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html,True,11.0
Über den Dächern Berlins warten bezugsfertige Maisonette-Wohnungen am Ku'damm auf Sie! (Unit 1/4),4884.0,162.5,"Kurfürstendamm 69, 10709 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/grand-city-property-ltd-zweigniederlassung-deutschland/ueber-den-daechern-des-berliner-boulevards/139838.html,True,4.0
Über den Dächern Berlins warten bezugsfertige Maisonette-Wohnungen am Ku'damm auf Sie! (Unit 2/4),4884.0,162.5,"Kurfürstendamm 69, 10709 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/grand-city-property-ltd-zweigniederlassung-deutschland/ueber-den-daechern-des-berliner-boulevards/139838.html,True,4.0
